[2022-04-30 01:07:09,499] [53] 127.0.0.1 requested http://localhost/songs/upload [INFO] in __init__: localhost POST 302
[2022-04-30 01:08:07,774] [57] 172.21.0.1 requested http://localhost/songs [INFO] in __init__: localhost GET 302
[2022-04-30 01:08:08,135] [57] 172.21.0.1 requested http://localhost/login?next=%2Fsongs&page=1 [INFO] in __init__: localhost GET 200
[2022-04-30 01:08:12,637] [57] 172.21.0.1 requested http://localhost/register [INFO] in __init__: localhost GET 200
[2022-04-30 01:08:19,557] [57] 172.21.0.1 requested http://localhost/register [INFO] in __init__: localhost POST 302
[2022-04-30 01:08:19,607] [57] 172.21.0.1 requested http://localhost/login [INFO] in __init__: localhost GET 200
[2022-04-30 01:08:25,057] [57] 172.21.0.1 requested http://localhost/login [INFO] in __init__: localhost POST 302
[2022-04-30 01:08:25,276] [57] 172.21.0.1 requested http://localhost/dashboard [INFO] in __init__: localhost GET 200
[2022-04-30 01:08:29,641] [57] 172.21.0.1 requested http://localhost/songs/upload [INFO] in __init__: localhost GET 200
[2022-04-30 01:08:34,358] [57] 172.21.0.1 requested http://localhost/songs/upload [INFO] in __init__: localhost POST 302
[2022-04-30 01:08:34,453] [57] 172.21.0.1 requested http://localhost/songs [INFO] in __init__: localhost GET 200
[2022-04-30 01:08:36,298] [57] 172.21.0.1 requested http://localhost/dashboard [INFO] in __init__: localhost GET 200
[2022-04-30 01:08:41,137] [57] 172.21.0.1 requested http://localhost/logout [INFO] in __init__: localhost GET 302
[2022-04-30 01:08:41,165] [57] 172.21.0.1 requested http://localhost/login [INFO] in __init__: localhost GET 200
[2022-04-30 01:08:42,549] [57] 172.21.0.1 requested http://localhost/register [INFO] in __init__: localhost GET 200
[2022-04-30 01:08:46,317] [57] 172.21.0.1 requested http://localhost/register [INFO] in __init__: localhost POST 200
[2022-04-30 01:08:53,407] [57] 172.21.0.1 requested http://localhost/register [INFO] in __init__: localhost POST 302
[2022-04-30 01:08:53,441] [57] 172.21.0.1 requested http://localhost/login [INFO] in __init__: localhost GET 200
[2022-04-30 01:09:00,153] [57] 172.21.0.1 requested http://localhost/login [INFO] in __init__: localhost POST 302
[2022-04-30 01:09:00,210] [57] 172.21.0.1 requested http://localhost/dashboard [INFO] in __init__: localhost GET 200
[2022-04-30 01:09:03,534] [57] 172.21.0.1 requested http://localhost/songs/upload [INFO] in __init__: localhost GET 200
[2022-04-30 01:09:07,568] [57] 172.21.0.1 requested http://localhost/songs/upload [INFO] in __init__: localhost POST 302
[2022-04-30 01:09:07,629] [57] 172.21.0.1 requested http://localhost/songs [INFO] in __init__: localhost GET 200
[2022-04-30 01:09:08,459] [57] 172.21.0.1 requested http://localhost/songs [INFO] in __init__: localhost GET 200
[2022-04-30 01:09:11,741] [57] 172.21.0.1 requested http://localhost/logout [INFO] in __init__: localhost GET 302
[2022-04-30 01:09:11,770] [57] 172.21.0.1 requested http://localhost/login [INFO] in __init__: localhost GET 200
[2022-04-30 01:09:13,888] [57] 172.21.0.1 requested http://localhost/register [INFO] in __init__: localhost GET 200
[2022-04-30 01:09:21,943] [57] 172.21.0.1 requested http://localhost/register [INFO] in __init__: localhost POST 302
[2022-04-30 01:09:21,982] [57] 172.21.0.1 requested http://localhost/login [INFO] in __init__: localhost GET 200
[2022-04-30 01:09:29,711] [57] 172.21.0.1 requested http://localhost/login [INFO] in __init__: localhost POST 302
[2022-04-30 01:09:29,769] [57] 172.21.0.1 requested http://localhost/dashboard [INFO] in __init__: localhost GET 200
[2022-04-30 01:09:33,359] [57] 172.21.0.1 requested http://localhost/songs/upload [INFO] in __init__: localhost GET 200
[2022-04-30 01:09:37,243] [57] 172.21.0.1 requested http://localhost/songs/upload [INFO] in __init__: localhost POST 302
[2022-04-30 01:09:37,298] [57] 172.21.0.1 requested http://localhost/songs [INFO] in __init__: localhost GET 200
[2022-04-30 01:09:38,949] [57] 172.21.0.1 requested http://localhost/dashboard [INFO] in __init__: localhost GET 200
[2022-04-30 01:09:49,685] [57] 172.21.0.1 requested http://localhost/songs/upload [INFO] in __init__: localhost GET 200
[2022-04-30 01:10:29,310] [57] 172.21.0.1 requested http://localhost/songs/upload [INFO] in __init__: localhost POST 302
[2022-04-30 01:10:29,413] [57] 172.21.0.1 requested http://localhost/songs [INFO] in __init__: localhost GET 200
